Name,Location,Salary,Description,desc_len,max_salary,min_salary,avg_salary
Mindpool TECHN0L0GY,Pune,6 - 10 ,"Daily monitoring of data load processes to identify holes in data, collaborate with other team members across IT, Operations, and business functions to design……",160,6,10,8.0
Techtrail Technologies Pvt Ltd,Pune,7 - 10 ,"As a Data Engineer, you will be responsible for designing, building, and maintaining the data infrastructure that supports our organization's data needs.…",154,7,10,8.5
PayU,Bengaluru,3 - 7 ,"Experience of 3 to 5 years in database interrogation and analysis tools (Python, R, SQL). Analytics Requirements: Collaborates with data teams and business……",157,3,7,5.0
Global Employees,Remote,10 - 18 ,Stay up-to-date with industry best practices and emerging technologies to continuously improve data engineering processes. Total work: 5 years (Required).…,155,10,18,14.0
SVPNC TECHNOLOGIES,Hyderābād,15 - 25 ,"Create, productionize, and maintain models / solutions that address business problems. Participate in strategic planning discussions around optimizations, data……",161,15,25,20.0
Microsoft,Noida,8 ,Drive data driven ideation to understand various business problems and solutions. You will be part of our team and will contribute to and work alongside many……,159,8,8,8.0
Swap Automotive Pvt. Ltd.,Ahmedabad,5 - 25 ,"Develop, implement, and maintain databases, data collection systems, data analytics platforms, and other strategies that optimize statistical efficiency and……",158,5,25,15.0
CodeVyasa,Gurgaon,10 - 12 ,You will report into IIT'ans/BITS grads with 10+ years of development experience + work with F500 companies (our customers). Big data: 5 years (Preferred).…,156,10,12,11.0
Bytesfarms Technologies,Indore,80 ,"As a Data Engineer at BytesFarms Technologies, you will be responsible for designing, developing, and maintaining our data pipelines and infrastructure.…",153,80,80,80.0
GPC- Gujrat Pesticides Company,Safidon,2 - 4 ,Collaborate with cross-functional teams to understand business requirements and provide data-driven solutions. Familiarity with data governance and compliance.…,160,2,4,3.0
PepsiCo,Hyderābād,2 - 5 ,"Statistics – Good applied statistical skills, including knowledge of statistical tests, distributions, regression, maximum likelihood estimators.…",146,2,5,3.5
T-Systems ICT India Pvt. Ltd.,Pune,5 - 10 ,Minimum 3 to 6 Years of in Big Data & Data related technology experience. Experience with integration of data from multiple data sources such as RDBMS (SQL……,157,5,10,7.5
TutorBin,Remote,15 - 20 ,Eligibility criteria- Btech(4th year) / Mtech(Pursuing)*. Solving questions of the students from across the globe. Have relevant skills and interests.…,151,15,20,17.5
Good Business Lab,India,9 - 10 ,"We design and evaluate programs that can find common ground between worker well-being in blue-collar settings and business interests, and then through our……",156,9,10,9.5
Microsoft,Bengaluru,3 - 10 ,"As a Data Engineer in the team, you will be responsible for managing the data real estate, architecting, and developing the next-gen data platform as well as……",159,3,10,6.5
